aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
 ,삼성동롯데아파트,2000,개인,26.07.24,O,"235,000",4,6,2026,중개거래,서울 강남구,59.4,2,17,N, ,11680,개인,삼성동
 ,현대2,1986,개인, , ,"325,000",4,6,2026,중개거래,서울 강남구,84.81,1,654,N, ,11680,개인,개포동
 ,디에이치자이개포,2021,개인, , ,"432,000",6,6,2026,중개거래,서울 강남구,103.86,21,743,N, ,11680,개인,일원동
 ,현대13차(208~211동),1983,개인,26.07.08,O,"610,000",11,6,2026,중개거래,서울 강남구,105.45,5,448,N, ,11680,개인,압구정동
 ,래미안블레스티지,2019,개인, , ,"350,000",3,6,2026,중개거래,서울 강남구,99.991,3,1280,N, ,11680,개인,개포동
 ,삼환(101동),1999,개인, , ,"215,000",23,6,2026,중개거래,서울 강남구,84.88,1,10,N, ,11680,개인,청담동
 ,신현대9차,1982,개인, , ,"662,500",16,6,2026,중개거래,서울 강남구,111.38,11,426,N, ,11680,개인,압구정동
 ,이산,2011,개인, , ,"70,000",20,6,2026,중개거래,서울 강남구,64.23,5,194-22,N, ,11680,개인,논현동
 ,풍림(1차),1998,개인, , ,"285,000",22,6,2026,중개거래,서울 강남구,84.78,3,106,N, ,11680,개인,삼성동
 ,"현대5차(71,72동)",1977,개인, , ,"550,000",3,6,2026,중개거래,서울 강남구,82.23,4,455,N, ,11680,개인,압구정동
 ,풍림아이원2차202동,2003,개인, , ,"255,000",23,6,2026,중개거래,서울 강남구,156.21,7,910-6,N, ,11680,개인,대치동
 ,개포자이프레지던스,2023,개인, , ,"348,000",6,6,2026,중개거래,서울 강남구,84.5978,2,1284,N, ,11680,개인,개포동
 ,도곡렉슬,2006,개인, , ,"413,000",6,6,2026,중개거래,서울 강남구,119.8906,5,527,N, ,11680,개인,도곡동
 ,압구정대원칸타빌아파트,2001,개인, , ,"165,000",22,6,2026,중개거래,서울 강남구,59.73,8,659,N, ,11680,개인,신사동
 ,삼성동대성유니드,2004,개인,26.07.15,O,"168,000",11,6,2026,중개거래,서울 강남구,83.93,5,129,N, ,11680,개인,삼성동
 ,미성2차,1987,개인, , ,"515,000",19,6,2026,중개거래,서울 강남구,118.63,5,397,N, ,11680,개인,압구정동
 ,대림역삼,1997,개인, , ,"230,000",15,6,2026,중개거래,서울 강남구,84.96,7,761-10,N, ,11680,개인,역삼동
 ,도곡스타클래스,2007,개인, , ,"177,000",22,6,2026,중개거래,서울 강남구,111.38,12,957-11,N, ,11680,개인,도곡동
 ,경남아너스빌,2002,개인, , ,"181,000",1,6,2026,중개거래,서울 강남구,84.688,15,722,N, ,11680,개인,역삼동
 ,대우로얄카운티2,2002,개인, , ,"473,000",15,6,2026,직거래, ,241.24,4,116-5,N,26.06.22,11680,개인,청담동
 ,삼성동한솔아파트,1998,개인, , ,"213,000",13,6,2026,중개거래,서울 강남구,58.57,14,4-6,N, ,11680,개인,삼성동
 ,도곡렉슬,2006,개인, , ,"415,000",11,6,2026,중개거래,"서울 강남구, 서울 서초구",119.8906,5,527,N, ,11680,개인,도곡동
 ,삼성동센트럴아이파크,2018,개인, , ,"413,000",4,6,2026,중개거래,서울 강남구,84.99,12,188,N, ,11680,개인,삼성동
 ,신현대12차,1982,개인, , ,"599,000",10,6,2026,중개거래,서울 강남구,112.05,1,434,N, ,11680,개인,압구정동
 ,대우아이빌멤버스(891-26),2003,개인, , ,"25,000",15,6,2026,직거래, ,35.796,10,891-26,N,26.06.22,11680,개인,대치동
 ,신현대12차,1982,개인, , ,"600,000",20,6,2026,중개거래,서울 강남구,112.05,1,434,N, ,11680,개인,압구정동
