순번,구코드,구,법정동,아파트,계약일,거래금액(만원),전용면적(㎡),층,건축년도,지번,거래유형,중개사소재지,매수자,매도자,해제사유발생일,등기일자,거래키
39,41591,만세구,향남읍 하길리,서봉마을모아엘가,2026-06-26,35500,74.1378,7,2015,1473,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:38
40,41591,만세구,장안면 사곡리,진명102동,2026-06-21,4000,45.36,5,1999,125-3,중개거래,경기 화성시 만세구,개인,개인,26.06.27,,202606:41591:39
41,41591,만세구,향남읍 장짐리,장짐마을신성발안미소지움,2026-06-15,21850,59.9563,1,2005,409,중개거래,경기 화성시 만세구,개인,개인,26.06.30,,202606:41591:40
42,41591,만세구,향남읍 상신리,한양수자인디에스티지,2026-06-21,43500,76.8208,16,2024,1349,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:41
43,41591,만세구,남양읍 신남리,화성시청역센트럴파크스타힐스2단지,2026-06-27,41000,75.7994,10,2023,1572,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:42
44,41591,만세구,남양읍 남양리,e편한세상남양뉴타운,2026-06-02,42500,84.9339,11,2022,2195,중개거래,경기 화성시 만세구,개인,개인,,26.07.06,202606:41591:43
45,41591,만세구,새솔동,금강펜테리움센트럴파크송산,2026-06-25,58500,84.19,14,2019,19,중개거래,"경기 안산시 상록구, 경기 화성시 만세구",개인,개인,,,202606:41591:44
46,41591,만세구,남양읍 신남리,대광파인밸리골드,2026-06-25,25700,84.305,4,2004,1563,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:45
47,41591,만세구,남양읍 남양리,화성남양시티프라디움4차,2026-06-25,38500,84.9764,2,2023,2191,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:46
48,41591,만세구,남양읍 신남리,기산베스트빌,2026-06-24,27000,84.9856,8,2001,25-9,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:47
49,41591,만세구,남양읍 남양리,e편한세상남양뉴타운,2026-06-04,39800,84.9709,2,2022,2195,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:48
50,41591,만세구,새솔동,송산그린시티이지더원레이크뷰아파트,2026-06-24,52000,77.6278,3,2018,18,중개거래,경기 수원시 장안구,개인,개인,,,202606:41591:49
51,41591,만세구,향남읍 발안리,발안마을주공,2026-06-24,17700,51.74,13,2003,295,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:50
52,41591,만세구,새솔동,송산그린시티요진와이시티,2026-06-23,52900,84.98,15,2018,16,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:51
53,41591,만세구,장안면 사곡리,산호,2026-06-17,12900,59.88,7,1996,170,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:52
54,41591,만세구,새솔동,모아미래도에듀포레,2026-06-05,49000,84.9974,4,2020,27,중개거래,경기 화성시 만세구,개인,개인,,26.07.07,202606:41591:53
55,41591,만세구,향남읍 하길리,모아미래도에듀파크서봉마을4단지,2026-06-22,37500,73.9805,8,2018,1515,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:54
56,41591,만세구,남양읍 신남리,대광파인밸리골드,2026-06-23,26800,84.305,10,2004,1563,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:55
57,41591,만세구,남양읍 남양리,대광파인밸리,2026-06-20,24900,84.96,8,2003,2001,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:56
58,41591,만세구,남양읍 남양리,대광파인밸리,2026-06-20,22000,59.65,14,2003,2001,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:57
59,41591,만세구,남양읍 신남리,화성시청역센트럴파크스타힐스1단지,2026-06-15,36500,59.6621,8,2023,1574,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:58
60,41591,만세구,남양읍 신남리,화성시청역서희스타힐스4차숲속마을,2026-06-10,30000,59.8855,9,2023,산96-8,중개거래,경기 화성시 만세구,개인,기타,,,202606:41591:59
61,41591,만세구,향남읍 상신리,한양수자인디에스티지,2026-06-21,43500,76.8208,16,2024,1349,중개거래,경기 화성시 만세구,개인,개인,26.06.26,,202606:41591:60
62,41591,만세구,새솔동,송산그린시티반도유보라아이비파크,2026-06-20,50300,84.7916,11,2018,22,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:61
63,41591,만세구,남양읍 신남리,대광파인밸리골드,2026-06-20,24700,84.305,10,2004,1563,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:62
64,41591,만세구,새솔동,더펠리체휴먼빌,2026-06-20,51000,84.9699,14,2018,23,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:63
65,41591,만세구,남양읍 남양리,화성남양뉴타운리젠시빌란트,2026-06-20,53200,102.6654,10,2023,2310,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:64
66,41591,만세구,새솔동,세영리첼에듀파크,2026-06-15,56000,113.6153,5,2019,26,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:65
67,41591,만세구,남양읍 신남리,화성시청역서희스타힐스4차숲속마을,2026-06-18,37000,75.8886,11,2023,산96-8,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:66
